route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
23,2,1762215901919,"Barrio Samoré",9392,0,"",8773
23,2,1762215901940,"Barrio Samoré",9393,0,"",8773
23,2,1762215901958,"Barrio Samoré",9394,0,"",8773
23,2,1762215902070,"Barrio Samoré",9395,0,"",8773
23,2,1762215902088,"Barrio Samoré",9396,0,"",8773
23,2,1762215902109,"Barrio Samoré",9397,0,"",8773
23,2,1762215902127,"Barrio Samoré",9398,0,"",8773
23,2,1762215902239,"Barrio Samoré",9399,0,"",8773
23,2,1762215902257,"Barrio Samoré",9400,0,"",8773
23,2,1762215902278,"Barrio Samoré",9401,0,"",8773
23,2,1762215902296,"Barrio Samoré",9402,0,"",8773
23,2,1762215902408,"Barrio Samoré",9403,0,"",8773
23,2,1762215902426,"Barrio Samoré",9404,0,"",8773
23,2,1762215902447,"Barrio Samoré",9405,0,"",8773
23,2,1762215902465,"Barrio Samoré",9406,0,"",8773
23,2,1762215902577,"Barrio Samoré",9407,0,"",8773
23,2,1762215902582,"Barrio Samoré",9408,0,"",8773
23,2,1762215902590,"Barrio Samoré",9409,0,"",8773
23,2,1762215902595,"Barrio Samoré",9410,0,"",8773
23,2,1762215902603,"Barrio Samoré",9411,0,"",8773
23,2,1762215902608,"Barrio Samoré",9412,0,"",8773
23,2,1762215902616,"Barrio Samoré",9413,0,"",8773
23,2,1762215902621,"Barrio Samoré",9414,0,"",8773
23,2,1762215902629,"Barrio Samoré",9415,0,"",8773
23,2,1762215902634,"Barrio Samoré",9416,0,"",8773
23,2,1762215902642,"Barrio Samoré",9417,0,"",8773
23,2,1762215902647,"Barrio Samoré",9418,0,"",8773
23,2,1762215902746,"Barrio Samoré",9419,0,"",8773
23,2,1762215902751,"Barrio Samoré",9420,0,"",8773
23,2,1762215902759,"Barrio Samoré",9421,0,"",8773
23,2,1762215902764,"Barrio Samoré",9422,0,"",8773
23,2,1762215902772,"Barrio Samoré",9423,0,"",8773
23,2,1762215902777,"Barrio Samoré",9424,0,"",8773
23,2,1762215902785,"Barrio Samoré",9425,0,"",8773
23,2,1762215902790,"Barrio Samoré",9426,0,"",8773
23,2,1762215902798,"Barrio Samoré",9427,0,"",8773
23,2,1762215902803,"Barrio Samoré",9428,0,"",8773
23,2,1762215902811,"Barrio Samoré",9429,0,"",8773
23,2,1762215902816,"Barrio Samoré",9430,0,"",8773
23,2,1762215902915,"Barrio Samoré",9431,0,"",8773
23,2,1762215902928,"Barrio Samoré",9432,0,"",8773
23,2,1762215902941,"Barrio Samoré",9433,0,"",8773
23,2,1762215902954,"Barrio Samoré",9434,0,"",8773
23,2,1762215902967,"Barrio Samoré",9435,0,"",8773
23,2,1762215902980,"Barrio Samoré",9436,0,"",8773
23,2,1762215903591,"Barrio Samoré",9437,0,"",8773
23,2,1762215903604,"Barrio Samoré",9438,0,"",8773
23,2,1762215903617,"Barrio Samoré",9439,0,"",8773
23,2,1762215903630,"Barrio Samoré",9440,0,"",8773
23,2,1762215903643,"Barrio Samoré",9441,0,"",8773
23,2,1762215903656,"Barrio Samoré",9442,0,"",8773
23,2,1762215903760,"Barrio Samoré",9443,0,"",8773
23,2,1762215903786,"Barrio Samoré",9444,0,"",8773
23,2,1762215903812,"Barrio Samoré",9445,0,"",8773
23,2,1762215903929,"Barrio Samoré",9446,0,"",8773
23,2,1762215903955,"Barrio Samoré",9447,0,"",8773
23,2,1762215903981,"Barrio Samoré",9448,0,"",8773
23,2,1762215904098,"Barrio Samoré",9449,0,"",8773
23,2,1762215904124,"Barrio Samoré",9450,0,"",8773
23,2,1762215904150,"Barrio Samoré",9451,0,"",8773
581,2,56968511,"Retiro",2889,1,"",8774
581,2,22944170034370,"Retiro",9686,1,"",8774
581,2,22944170034539,"Retiro",9687,1,"",8774
581,2,22944170034708,"Retiro",9688,1,"",8774
581,2,22944170034877,"Retiro",9689,1,"",8774
581,2,22944170035046,"Retiro",9690,1,"",8774
581,2,22944170035215,"Retiro",9691,1,"",8774
581,2,22944170035241,"Retiro",9692,1,"",8774
581,2,22944170035267,"Retiro",9693,1,"",8774
581,2,22944170035384,"Retiro",9694,1,"",8774
581,2,22944170035397,"Retiro",9695,1,"",8774
581,2,22944170035410,"Retiro",9696,1,"",8774
581,2,22944170035423,"Retiro",9697,1,"",8774
581,2,22944170035436,"Retiro",9698,1,"",8774
581,2,22944170035449,"Retiro",9699,1,"",8774
581,2,22944170035553,"Retiro",9700,1,"",8774
581,2,22944170035566,"Retiro",9701,1,"",8774
581,2,22944170035579,"Retiro",9702,1,"",8774
581,2,22944170035592,"Retiro",9703,1,"",8774
581,2,22944170035605,"Retiro",9704,1,"",8774
581,2,22944170035618,"Retiro",9705,1,"",8774
581,2,22944170035722,"Retiro",9706,1,"",8774
581,2,22944170035727,"Retiro",9707,1,"",8774
581,2,22944170035735,"Retiro",9708,1,"",8774
581,2,22944170035740,"Retiro",9709,1,"",8774
581,2,22944170035748,"Retiro",9710,1,"",8774
581,2,22944170035753,"Retiro",9711,1,"",8774
581,2,22944170035761,"Retiro",9712,1,"",8774
581,2,22944170035766,"Retiro",9713,1,"",8774
581,2,22944170035774,"Retiro",9714,1,"",8774
581,2,22944170035779,"Retiro",9715,1,"",8774
581,2,22944170035787,"Retiro",9716,1,"",8774
581,2,22944170035792,"Retiro",9717,1,"",8774
581,2,22944170035891,"Retiro",9718,1,"",8774
581,2,22944170035896,"Retiro",9719,1,"",8774
581,2,22944170035904,"Retiro",9720,1,"",8774
581,2,22944170035909,"Retiro",9721,1,"",8774
581,2,22944170035917,"Retiro",9722,1,"",8774
581,2,22944170035922,"Retiro",9723,1,"",8774
581,2,22944170035930,"Retiro",9724,1,"",8774
581,2,22944170035935,"Retiro",9725,1,"",8774
581,2,22944170035943,"Retiro",9726,1,"",8774
581,2,22944170035948,"Retiro",9727,1,"",8774
581,2,22944170035956,"Retiro",9728,1,"",8774
581,2,22944170035961,"Retiro",9729,1,"",8774
581,2,22944170036567,"Retiro",9730,1,"",8774
581,2,22944170036585,"Retiro",9731,1,"",8774
581,2,22944170036606,"Retiro",9732,1,"",8774
581,2,22944170036624,"Retiro",9733,1,"",8774
581,2,22944170036736,"Retiro",9734,1,"",8774
581,2,22944170036754,"Retiro",9735,1,"",8774
581,2,22944170036775,"Retiro",9736,1,"",8774
581,2,22944170036793,"Retiro",9737,1,"",8774
581,2,22944170036905,"Retiro",9738,1,"",8774
581,2,22944170036923,"Retiro",9739,1,"",8774
581,2,22944170036944,"Retiro",9740,1,"",8774
581,2,22944170036962,"Retiro",9741,1,"",8774
581,2,22944170037074,"Retiro",9742,1,"",8774
581,2,22944170037092,"Retiro",9743,1,"",8774
581,2,22944170037113,"Retiro",9744,1,"",8774
581,2,22944170037131,"Retiro",9745,1,"",8774
581,2,22944170037243,"Retiro",9746,1,"",8774
581,2,22944170037261,"Retiro",9747,1,"",8774
581,2,22944170037282,"Retiro",9748,1,"",8774
581,2,22944170037300,"Retiro",9749,1,"",8774
581,2,22944170037412,"Retiro",9750,1,"",8774
581,2,22944170037430,"Retiro",9751,1,"",8774
581,2,22944170037451,"Retiro",9752,1,"",8774
581,2,22944170037469,"Retiro",9753,1,"",8774
581,2,22944170037581,"Retiro",9754,1,"",8774
581,2,22944170037599,"Retiro",9755,1,"",8774
581,2,22944170037620,"Retiro",9756,1,"",8774
581,2,22944170037638,"Retiro",9757,1,"",8774
581,2,22944170037750,"Retiro",9758,1,"",8774
581,2,22944170037755,"Retiro",9759,1,"",8774
581,2,22944170037763,"Retiro",9760,1,"",8774
581,2,22944170037768,"Retiro",9761,1,"",8774
581,2,22944170037776,"Retiro",9762,1,"",8774
581,2,22944170037781,"Retiro",9763,1,"",8774
581,2,22944170037789,"Retiro",9764,1,"",8774
581,2,22944170037794,"Retiro",9765,1,"",8774
581,2,22944170037802,"Retiro",9766,1,"",8774
581,2,22944170037807,"Retiro",9767,1,"",8774
581,2,22944170037815,"Retiro",9768,1,"",8774
581,2,22944170037820,"Retiro",9769,1,"",8774
581,2,22944170037919,"Retiro",9770,1,"",8774
581,2,22944170037924,"Retiro",9771,1,"",8774
581,2,22944170037932,"Retiro",9772,1,"",8774
581,2,22944170037937,"Retiro",9773,1,"",8774
581,2,22944170037945,"Retiro",9774,1,"",8774
581,2,22944170037950,"Retiro",9775,1,"",8774
581,2,22944170037958,"Retiro",9776,1,"",8774
581,2,22944170037963,"Retiro",9777,1,"",8774
581,2,22944170037971,"Retiro",9778,1,"",8774
581,2,22944170037976,"Retiro",9779,1,"",8774
581,2,22944170037984,"Retiro",9780,1,"",8774
581,2,22944170037989,"Retiro",9781,1,"",8774
581,2,22944170038088,"Retiro",9782,1,"",8774
581,2,22944170038101,"Retiro",9783,1,"",8774
581,2,22944170038114,"Retiro",9784,1,"",8774
581,2,22944170038127,"Retiro",9785,1,"",8774
581,2,22944170038140,"Retiro",9786,1,"",8774
581,2,22944170038153,"Retiro",9787,1,"",8774
581,2,22944170038764,"Retiro",9788,1,"",8774
581,2,22944170038777,"Retiro",9789,1,"",8774
581,2,22944170038790,"Retiro",9790,1,"",8774
581,2,22944170038803,"Retiro",9791,1,"",8774
581,2,22944170038816,"Retiro",9792,1,"",8774
581,2,22944170038829,"Retiro",9793,1,"",8774
581,2,22944170038933,"Retiro",9794,1,"",8774
581,2,22944170038959,"Retiro",9795,1,"",8774
581,2,22944170038985,"Retiro",9796,1,"",8774
581,2,22944170039102,"Retiro",9797,1,"",8774
581,2,22944170039128,"Retiro",9798,1,"",8774
581,2,22944170039154,"Retiro",9799,1,"",8774
581,2,22944170039271,"Retiro",9800,1,"",8774
581,2,22944170039297,"Retiro",9801,1,"",8774
581,2,22944170039323,"Retiro",9802,1,"",8774
26,2,4375373,"",1879,0,"",8323
26,2,1762404144748,"",10037,0,"",8323
26,2,1762404144917,"",10038,0,"",8323
26,2,1762404145086,"",10039,0,"",8323
26,2,1762404145255,"",10040,0,"",8323
26,2,1762404145424,"",10041,0,"",8323
26,2,1762404145593,"",10042,0,"",8323
26,2,1762404145619,"",10043,0,"",8323
26,2,1762404145645,"",10044,0,"",8323
26,2,1762404145762,"",10045,0,"",8323
26,2,1762404145775,"",10046,0,"",8323
26,2,1762404145788,"",10047,0,"",8323
26,2,1762404145801,"",10048,0,"",8323
26,2,1762404145814,"",10049,0,"",8323
26,2,1762404145827,"",10050,0,"",8323
26,2,1762404145931,"",10051,0,"",8323
26,2,1762404145944,"",10052,0,"",8323
26,2,1762404145957,"",10053,0,"",8323
26,2,1762404145970,"",10054,0,"",8323
26,2,1762404145983,"",10055,0,"",8323
26,2,1762404145996,"",10056,0,"",8323
26,2,1762404146100,"",10057,0,"",8323
26,2,1762404146105,"",10058,0,"",8323
