,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
16739,8787,-34.6288519064,-58.439520168,254
16740,8787,-34.628999839,-58.4394231536,255
16741,8787,-34.6290158852,-58.4394121744,256
16742,8787,-34.6290999068,-58.4393771575,257
16743,8787,-34.6296218607,-58.4390291465,258
16744,8787,-34.630041857,-58.4387491686,259
16745,8787,-34.6301148768,-58.4387031791,260
16746,8787,-34.6301798716,-58.4386531439,261
16747,8787,-34.6310818273,-58.4380460706,262
16748,8787,-34.6320547436,-58.4373911846,263
16749,8787,-34.6321237959,-58.4373451941,264
16750,8787,-34.6321917662,-58.4372992038,265
16751,8787,-34.6329747783,-58.4367812399,266
16752,8787,-34.6330437402,-58.4367352483,267
16753,8787,-34.633108735,-58.436689258,268
16754,8787,-34.634623662,-58.4357142064,269
16755,8787,-34.6353704351,-58.4354803272,270
16756,8787,-34.6359583719,-58.4352522717,271
16757,8787,-34.636018679,-58.4353172887,272
16758,8787,-34.6361637037,-58.4355302733,273
16759,8787,-34.6364966818,-58.4360182158,274
16760,8787,-34.6365996811,-58.4361862346,275
16761,8787,-34.6366716492,-58.4362812132,276
16762,8787,-34.6367866376,-58.436441222,277
16763,8787,-34.6368659821,-58.4365866696,278
16764,8787,-34.6376577979,-58.4363131786,279
16765,8787,-34.6387604144,-58.43591931,280
16766,8787,-34.6392752989,-58.4357333915,281
16767,8787,-34.639787362,-58.4355498642,282
16768,8787,-34.6411235236,-58.4350572738,283
16769,8787,-34.6411995215,-58.4350302573,284
16770,8787,-34.641264521,-58.4350072932,285
16771,8787,-34.6420935556,-58.4347112809,286
16772,8787,-34.6422045314,-58.4346682372,287
16773,8787,-34.6422235766,-58.4347602699,288
16774,8787,-34.6424985178,-58.4361461674,289
16775,8787,-34.6425175609,-58.4362341521,290
16776,8787,-34.6425325486,-58.4363302355,291
16777,8787,-34.6427995286,-58.4376711606,292
16778,8787,-34.6428185721,-58.4377661637,293
16779,8787,-34.6428375247,-58.4378581078,294
16780,8787,-34.6429095469,-58.4382211176,295
16781,8787,-34.6429935707,-58.4386410759,296
16782,8787,-34.6430395056,-58.4388590617,297
16783,8787,-34.6430465478,-58.4389080937,298
16784,8787,-34.643092571,-58.439119062,299
16785,8787,-34.6431115224,-58.439210107,300
16786,8787,-34.6431305641,-58.4393020518,301
16787,8787,-34.6431765037,-58.4395500886,302
16788,8787,-34.6432405736,-58.4398440058,303
16789,8787,-34.6432865122,-58.4400930328,304
16790,8787,-34.6432975217,-58.4401460228,305
16791,8787,-34.6433515733,-58.4403909993,306
16792,8787,-34.6433705253,-58.4404900523,307
16793,8787,-34.643389566,-58.4405819977,308
16794,8787,-34.643533504,-58.4413139655,309
16795,8787,-34.6435645464,-58.4414679884,310
16796,8787,-34.6437405373,-58.4422797879,311
16797,8787,-34.6437777939,-58.4425622935,312
16798,8787,-34.6437738591,-58.4427527249,313
16799,8787,-34.6437405597,-58.4429429366,314
16800,8787,-34.6436335788,-58.4431718089,315
16801,8787,-34.6433173785,-58.4435698148,316
16802,8787,-34.6428056867,-58.4442407017,317
16803,8787,-34.6435655915,-58.4450878077,318
16804,8787,-34.6436195164,-58.4451528453,319
16805,8787,-34.6436805632,-58.4452138327,320
16806,8787,-34.6439205181,-58.4454957522,321
16807,8787,-34.6442675051,-58.445873741,322
16808,8787,-34.6444475827,-58.4460837888,323
